"RANK","NAME","TEAM","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Nikola Jokic","Den","C","30","46","36.2","29.8","13.5","285","0.814","700","0.604","207","0.464","0.625","0.662","29.7","12.7","10.3","1.8","0.7","3.1","42.4","40","52.7","17.4","133.7","107.4"
"","Giannis Antetokounmpo","Mil","F","30.2","41","34.9","36.3","14.1","440","0.577","825","0.624","32","0.188","0.611","0.62","31.8","12.2","5.9","0.8","1.3","3.4","43.9","37.6","49.8","15.1","118.8","105"
"","Luka Doncic","Dal","F-G","25.9","22","35.7","32.9","13.9","146","0.767","254","0.555","212","0.354","0.544","0.584","28.1","8.3","7.8","2","0.4","3.4","36.5","36","44.3","13.7","116.1","106.6"
"","Shai Gilgeous-Alexander","Okc","G","26.6","48","34.1","35","11","409","0.9","766","0.601","273","0.352","0.581","0.646","32.8","5.3","6","2","1","2.7","38.1","38.8","44.1","11.9","127.8","103.1"
"","De'Aaron Fox","San","G","27.1","1","37.1","26.4","4.3","0","0","15","0.6","7","0.286","0.545","0.545","24","5","13","3","0","1","29","37","42","12.5","128.9","107.9"
"","Cade Cunningham","Det","G","23.4","47","35.7","33","17.3","232","0.845","692","0.496","302","0.354","0.507","0.549","25.6","6.3","9.4","1","0.7","4.4","31.9","35","41.3","12.9","109.9","109.7"
"","Karl-Anthony Towns","Nyk","C-F","29.2","46","34.7","26.8","13.2","263","0.84","546","0.575","213","0.423","0.592","0.64","24.3","13.6","3.3","1","0.8","2.5","37.9","27.7","41.3","11.9","125.1","101.9"
"","LeBron James","Lal","F","40.1","46","34.7","30.6","17.2","210","0.767","582","0.57","256","0.391","0.575","0.605","24.5","7.8","9","0.9","0.5","3.8","32.2","33.5","41.3","13.8","116.6","111.7"
"","Domantas Sabonis","Sac","F-C","28.8","48","36","21.6","18.6","212","0.769","519","0.63","117","0.462","0.642","0.671","20.4","14.3","6.3","0.6","0.4","3","34.7","26.7","41","13.6","129","104.7"
"","Anthony Davis","Lal","F-C","31.9","42","34.3","30.4","10.9","321","0.788","663","0.561","94","0.298","0.547","0.602","25.7","11.9","3.4","1.3","2.1","2.2","37.6","29.1","41","11.8","120.2","107.1"
"","Jayson Tatum","Bos","F-G","26.9","49","36.3","30.5","12.6","316","0.801","480","0.548","488","0.357","0.541","0.588","26.6","8.7","5.7","1.2","0.5","2.9","35.2","32.2","40.9","12.1","116.4","105.3"
"","LaMelo Ball","Cha","G","23.5","31","33.3","37.4","13.8","172","0.82","341","0.51","380","0.337","0.508","0.548","28.2","5.3","7.3","1.4","0.3","3.7","33.4","35.5","40.7","12.4","110.6","106.5"
"","Victor Wembanyama","San","F-C","21.1","42","33.1","30.9","15.2","174","0.839","415","0.586","374","0.358","0.563","0.597","24.6","10.9","3.6","1.1","3.9","3.4","35.5","28.3","39.2","11.9","109.4","106.4"
"","Trae Young","Atl","G","26.4","47","36.1","28.6","21.2","334","0.856","418","0.469","405","0.341","0.49","0.563","23.2","3.2","11.5","1.3","0.2","4.7","26.4","34.7","37.9","10.5","111.8","114.9"
"","Tyrese Maxey","Phi","G","24.3","43","38","31.2","10.1","255","0.875","522","0.523","415","0.345","0.52","0.571","27.9","3.4","6.2","1.9","0.4","2.4","31.3","34","37.5","8.8","115.6","113.4"
"","Anthony Edwards","Min","G","23.5","51","36.7","31.3","14.4","289","0.844","541","0.47","504","0.421","0.547","0.592","27.2","5.8","4.5","1.1","0.7","3.5","33","31.7","37.5","9.7","112.5","109.2"
"","Kevin Durant","Pho","F","36.4","39","36.2","29.8","14","237","0.827","496","0.583","231","0.398","0.587","0.632","26.9","6.1","4.2","0.8","1.3","3","33","31.1","37.2","9.8","115.5","115.5"
"","Joel Embiid","Phi","C-F","30.9","14","29.9","36","16","121","0.884","189","0.497","53","0.321","0.494","0.586","24.7","8.1","4.3","0.9","0.9","3.3","32.9","29","37.1","12.7","113.7","109.3"
"","Damian Lillard","Mil","G","34.6","41","36.3","27.8","13.9","279","0.921","345","0.519","364","0.379","0.544","0.619","25.1","4.5","7.4","1.2","0.2","2.8","29.6","32.5","37.1","10.4","122.5","111.9"
"","Jalen Brunson","Nyk","G","28.4","50","35.3","29.4","11.6","352","0.813","630","0.532","292","0.397","0.552","0.605","26.1","2.9","7.5","1","0.1","2.4","29","33.6","36.5","9.4","124.7","113.3"
"","Devin Booker","Pho","G","28.3","45","36.9","29.4","12.5","326","0.893","494","0.526","348","0.342","0.521","0.593","26","4","6.6","1.1","0.3","2.7","29.9","32.6","36.5","9.6","119.4","115.7"
"","Zion Williamson","Nor","F","24.6","15","28.4","35.5","15.4","125","0.648","246","0.533","11","0.182","0.521","0.559","23.3","7.9","4.9","1.2","1.1","3.1","31.1","28.2","36.1","13.6","110.5","111.3"
"","De'Aaron Fox","Sac","G","27.1","45","37","28.8","13.1","246","0.829","597","0.539","286","0.322","0.521","0.567","25","5","6.1","1.5","0.4","3","30","31.1","36.1","9.9","112.8","111.6"
"","James Harden","Lac","G","35.5","48","33.9","29.6","22.2","326","0.893","367","0.45","390","0.344","0.483","0.568","21.3","5.8","8.4","1.5","0.6","4.5","27.1","29.7","35.5","11.9","109.6","106.2"
"","Franz Wagner","Orl","F","23.5","33","32.8","31.9","10.4","191","0.874","425","0.529","210","0.319","0.513","0.569","24.8","5.4","5.1","1.5","0.5","2.2","30.2","29.9","35.2","10.7","115.2","105.3"
"","Tyler Herro","Mia","G","25.1","48","35.5","27.4","13","199","0.859","379","0.565","466","0.393","0.578","0.616","23.9","5.6","5.5","0.7","0.1","2.6","29.5","29.5","35.1","10.2","117","112.7"
"","Alperen Sengun","Hou","C","22.5","48","31.4","26.4","13.4","251","0.701","674","0.516","68","0.235","0.501","0.54","19.2","10.6","5","1.3","0.8","2.4","29.8","24.2","34.8","12.8","115.4","101.4"
"","Paolo Banchero","Orl","F","22.2","19","33.4","32.7","14.3","147","0.633","253","0.482","100","0.29","0.469","0.508","22.3","7.2","4.9","0.7","0.8","3.1","29.5","27.3","34.4","11.1","101","106.5"
"","Scottie Barnes","Tor","F-G","23.5","38","34.5","26.8","15","171","0.772","455","0.523","189","0.265","0.486","0.527","19.9","7.8","6.4","1.4","1","3","27.8","26.4","34.2","11.6","107.1","112.8"
"","Jaylen Brown","Bos","G-F","28.3","45","35.4","29","12.4","242","0.744","565","0.527","272","0.327","0.516","0.553","23.2","6.1","4.8","1.2","0.3","2.6","29.3","28","34","9.9","111.5","106.7"
"","Jalen Johnson","Atl","F","23.1","36","35.7","22.3","16.3","126","0.746","402","0.565","141","0.312","0.54","0.568","18.9","10","5","1.6","1","2.9","28.9","23.9","33.9","11","108.9","110.4"
"","RJ Barrett","Tor","F-G","24.7","41","33.3","28.7","14.9","220","0.655","494","0.522","215","0.349","0.523","0.549","21.6","6.6","5.7","0.8","0.3","3","28.2","27.3","33.9","11.2","107.1","112.6"
"","Kyrie Irving","Dal","G","32.9","41","36.2","26.7","11.2","165","0.903","471","0.52","291","0.412","0.558","0.598","24.4","4.7","4.8","1.3","0.3","2.3","29.1","29.2","33.9","9.1","118.8","113.4"
"","Nikola Vucevic","Chi","C","34.3","51","32.3","22.3","9.8","109","0.807","509","0.617","236","0.394","0.609","0.627","19.5","10.4","3.5","0.9","0.7","1.6","29.9","23.1","33.5","11","123.7","110.1"
"","Stephen Curry","Gol","G","36.9","42","32","29","14.2","142","0.944","286","0.5","458","0.389","0.551","0.591","22.7","4.5","6.1","1.1","0.5","2.9","27.2","28.9","33.4","10.7","114.6","113.4"
"","Zach LaVine","Chi","G","29.9","42","34.1","26.7","14.6","182","0.797","405","0.56","305","0.446","0.607","0.637","24","4.8","4.5","0.9","0.2","2.9","28.8","28.5","33.3","9.4","114.9","116.7"
"","Donovan Mitchell","Cle","G","28.4","48","31.2","30.6","9.6","196","0.837","446","0.507","446","0.395","0.549","0.585","23.8","4.4","4.7","1.4","0.2","2","28.3","28.6","33","10.1","117.3","108.7"
"","Brandon Ingram","Nor","F","27.4","18","33.1","30.2","17.1","55","0.855","218","0.514","115","0.374","0.53","0.56","22.2","5.6","5.2","0.9","0.6","3.8","27.8","27.4","32.9","10.4","103.4","115.6"
"","Ja Morant","Mem","G","25.5","30","28.4","31.2","20.1","179","0.816","323","0.511","147","0.327","0.504","0.565","20.7","4.2","7.5","1.3","0.3","3.9","24.8","28.2","32.3","12.2","111","108.7"
"","Cam Thomas","Bro","G","23.3","19","32.3","31.9","13.1","129","0.876","193","0.503","144","0.375","0.528","0.596","24.7","3.6","3.4","0.7","0.1","2.7","28.3","28.1","31.7","8.3","112.4","115.3"
"","Jaren Jackson Jr.","Mem","F-C","25.4","49","29.6","29.1","11.4","283","0.784","565","0.559","265","0.37","0.558","0.601","23.4","6.1","2.2","1.3","1.6","2.2","29.5","25.6","31.7","9.2","116.9","102.8"
"","Jalen Williams","Okc","G-F","23.8","46","32.6","27.3","11.5","178","0.781","557","0.528","228","0.346","0.525","0.558","21","5.5","5.2","1.8","0.7","2.2","26.5","26.1","31.6","10.4","112.7","101.4"
"","Pascal Siakam","Ind","F","30.9","50","33.1","23.5","8","190","0.763","539","0.581","212","0.415","0.593","0.62","20.7","7.4","3.4","0.9","0.5","1.3","28.1","24.1","31.5","9.7","124.3","110.2"
"","Dejounte Murray","Nor","G","28.4","31","32.7","27.2","17.5","124","0.823","320","0.444","174","0.299","0.445","0.494","17.5","6.5","7.4","2","0.4","3.4","23.9","24.8","31.3","11.5","101.1","114.1"
"","Darius Garland","Cle","G","25","49","30.3","27.9","13.7","180","0.878","427","0.555","340","0.429","0.595","0.632","21.8","2.5","6.8","1.1","0.2","2.5","24.3","28.6","31.1","9.5","124.5","110.5"
"","Miles Bridges","Cha","F","26.9","34","31.9","26.6","11","124","0.871","330","0.533","229","0.293","0.495","0.539","19.4","7.7","3.9","0.6","0.6","2","27.2","23.3","31","10.5","110.5","111.5"
"","Bam Adebayo","Mia","C-F","27.6","48","33.9","22.9","14.5","193","0.72","528","0.513","122","0.287","0.498","0.535","16.4","10","4.6","1.3","0.8","2.3","26.4","21","31","10.7","110.6","106.6"
"","Trey Murphy III","Nor","F","24.6","35","35.3","23.5","9","160","0.894","264","0.58","300","0.383","0.577","0.626","22.7","5","3.2","1.2","0.8","1.6","27.7","25.9","30.9","8.1","123.7","117"
"","Julius Randle","Min","F-C","30.2","48","32.6","25.6","16.8","249","0.811","452","0.542","221","0.321","0.522","0.578","18.9","7.2","4.5","0.7","0.2","2.8","26","23.3","30.5","10.4","114.4","106.4"
"","Ivica Zubac","Lac","C","27.9","49","32","18.8","13.5","138","0.616","539","0.61","0","0","0.61","0.619","15.2","12.7","2.5","0.7","1.1","1.7","27.8","17.7","30.3","9.8","123.2","103.9"
"","Jamal Murray","Den","G","28","45","36","23.6","11.8","160","0.875","485","0.515","249","0.357","0.522","0.564","20.2","4","6.1","1.4","0.6","2.2","24.2","26.3","30.3","8.8","115.2","113.9"
"","Evan Mobley","Cle","C","23.6","45","30","23","13.1","184","0.761","432","0.616","127","0.394","0.61","0.642","18.3","9","2.9","0.8","1.5","1.9","27.3","21.2","30.2","10.4","124.7","105.9"
"","Tyrese Haliburton","Ind","G","24.9","49","34","21.4","11.5","155","0.845","285","0.561","384","0.365","0.553","0.591","17.8","3.6","8.5","1.3","0.7","1.8","21.4","26.3","29.9","9.6","124.9","116.5"
"","Norman Powell","Lac","G","31.7","42","33.3","27.2","10.9","198","0.818","374","0.553","332","0.431","0.597","0.634","23.9","3.6","2.2","1.3","0.2","2","27.5","26.2","29.8","6.9","118.3","108.6"
"","Josh Hart","Nyk","G","29.9","50","37.6","14.9","16.1","130","0.815","329","0.666","166","0.343","0.615","0.647","14.3","9.7","5.8","1.5","0.4","1.9","24","20.1","29.7","9.9","131.3","107.8"
"","Brandon Miller","Cha","F","22.2","27","34.2","27.6","13.4","79","0.861","198","0.475","293","0.355","0.509","0.54","21","4.9","3.6","1.1","0.7","2.8","25.9","24.7","29.5","8.4","105","110.3"
"","CJ McCollum","Nor","G","33.4","38","33.4","27.3","8.6","129","0.721","386","0.508","313","0.374","0.531","0.553","22","3.6","3.8","0.8","0.5","1.7","25.6","25.8","29.4","8","111.1","118.2"
"","Desmond Bane","Mem","G","26.6","40","30.1","22.9","15.3","99","0.859","324","0.577","224","0.384","0.577","0.606","17.9","5.7","5.5","1.2","0.4","2.5","23.6","23.4","29.1","11","118.8","106.8"
"","DeMar DeRozan","Sac","G-F","35.5","46","35.8","24.2","7.5","248","0.859","639","0.518","125","0.328","0.514","0.572","21.7","3.7","3.7","1.1","0.5","1.3","25.4","25.4","29.1","7.5","117.9","114.5"
"","Austin Reaves","Lal","G","26.7","44","34.7","23.1","15.2","197","0.853","293","0.532","310","0.361","0.537","0.592","18.5","4.3","6.1","1.1","0.2","2.5","22.8","24.6","28.9","9.1","117.1","112.5"
"","Jalen Green","Hou","G","23","51","33.2","27.2","12.5","210","0.862","485","0.493","414","0.35","0.508","0.552","21.5","4.4","2.9","0.9","0.3","2.5","25.8","24.4","28.7","7.8","109.8","110.2"
"","John Collins","Uta","F-C","27.4","32","29.9","23.8","17.4","121","0.868","300","0.563","104","0.442","0.589","0.635","18.2","8.2","2.3","1","1","2.7","26.4","20.4","28.6","9.4","115.9","109.5"
"","Kristaps Porzingis","Bos","F-C","29.5","27","28.6","25.3","6.8","126","0.833","204","0.525","163","0.405","0.561","0.612","19.1","7","2","0.8","1.6","1","26.1","21.2","28.2","9","125.4","102.4"
"","Jordan Poole","Was","G","25.6","43","31","28.2","17.5","181","0.867","285","0.449","394","0.388","0.527","0.575","20.3","3.1","4.9","1.5","0.5","3.3","23.3","25.1","28.2","8.7","106","113.8"
"","Dennis Schroder","Bro","G","31.4","23","33.6","24","15.3","81","0.889","175","0.509","150","0.387","0.542","0.588","18.4","3","6.6","1.1","0.2","2.6","21.4","25","28","8.5","115.5","113.3"
"","Isaiah Hartenstein","Okc","C-F","26.8","29","29.3","17.1","17.5","75","0.653","241","0.581","13","0","0.551","0.573","11.3","12.2","4.3","0.8","1.2","1.9","23.5","15.6","27.8","11.5","119.7","94.1"
"","Mark Williams","Cha","C","23.1","23","25","22.5","8.8","100","0.78","238","0.588","1","0","0.586","0.633","15.6","9.6","2.5","0.7","1.2","1","25.2","18","27.7","11.5","132.4","103.7"
"","Michael Porter Jr.","Den","F","26.6","52","33.3","20.6","9.1","136","0.743","380","0.616","333","0.417","0.621","0.638","19","6.5","2.2","0.6","0.5","1.4","25.5","21.1","27.7","7.8","123.5","113"
"","Malik Monk","Sac","G","27","43","32.1","24.3","12.5","127","0.874","345","0.545","294","0.33","0.522","0.56","18.1","3.8","5.7","1","0.6","2.1","21.9","23.8","27.6","9.1","113.2","110.7"
"","Lauri Markkanen","Uta","F-C","27.7","37","31.9","23.7","8.6","165","0.861","228","0.522","315","0.352","0.526","0.579","19.3","6.2","1.7","0.7","0.4","1.4","25.5","21","27.2","7.4","118.2","117"
"","Chet Holmgren","Okc","C-F","22.8","10","26.5","25","17.1","49","0.776","74","0.568","37","0.378","0.568","0.619","16.4","8.7","2","0.8","2.6","2.3","25.1","18.4","27.1","9.9","114.1","99"
"","Jakob Poeltl","Tor","C","29.3","45","30.9","18.2","15.9","117","0.658","457","0.613","2","0","0.61","0.624","14.2","10.1","2.8","1.2","1.3","1.9","24.3","17","27.1","9.6","119.8","106.7"
"","Jimmy Butler","Mia","F","35.4","25","30.6","21","10.2","161","0.801","227","0.568","36","0.361","0.565","0.638","17","5.2","4.8","1.1","0.4","1.2","22.3","21.8","27.1","9.8","135.6","114.2"
"","Paul George","Phi","F","34.8","31","32","25.2","15.6","79","0.823","243","0.473","206","0.369","0.51","0.541","16.9","5.5","4.6","1.7","0.4","2.7","22.4","21.5","27","9.4","104.4","109.1"
"","Deandre Ayton","Por","C","26.5","38","30.4","19.7","12.2","56","0.679","421","0.599","32","0.188","0.576","0.586","14.7","10.3","1.6","0.8","1","1.7","25.1","16.4","26.7","8.2","114.8","109.4"
"","Coby White","Chi","G","25","45","32.6","23.5","14.6","150","0.893","277","0.516","368","0.375","0.543","0.586","18.5","3.3","4.6","0.9","0.2","2.4","21.8","23.2","26.5","8","110.9","115"
"","Cameron Johnson","Bro","F","28.9","36","32.1","22.6","11.4","132","0.902","197","0.589","276","0.417","0.61","0.655","19.3","4","2.9","0.8","0.5","1.7","23.4","22.2","26.3","7.6","123.5","115.4"
"","Anfernee Simons","Por","G","25.7","48","32.3","24.2","12","128","0.898","347","0.478","387","0.377","0.525","0.56","18.4","2.8","5","0.8","0.1","2.1","21.2","23.4","26.2","7.9","114.2","116.9"
"","Max Christie","Dal","G","22","2","30.9","18","8.6","7","0.571","14","0.5","7","0.571","0.619","0.623","15","7.5","3.5","0.5","0.5","1","22.5","18.5","26","9.5","130","112.7"
"","Josh Giddey","Chi","G","22.3","48","28.8","20.3","21.1","102","0.755","310","0.513","183","0.339","0.511","0.54","12.1","7.3","6.6","1.1","0.5","2.8","19.4","18.7","25.9","11.6","109.8","113"
"","Jarrett Allen","Cle","C","26.8","51","29","15.6","12.5","173","0.74","404","0.703","2","0","0.7","0.722","13.6","10.3","2","0.9","0.9","1.1","23.9","15.6","25.9","9","141.8","106.8"
"","Keyonte George","Uta","G","21.3","39","31.3","24.4","17.3","151","0.801","234","0.462","296","0.341","0.49","0.537","16.4","3.6","5.8","0.8","0.2","2.8","20","22.3","25.8","8.9","108.2","117.7"
"","Jaden Ivey","Det","G","23","30","29.9","26.1","17.7","116","0.733","259","0.49","154","0.409","0.536","0.569","17.6","4.1","4","0.9","0.4","3","21.7","21.6","25.7","8.8","107.2","111.2"
"","Collin Sexton","Uta","G","26.1","46","28.5","26.2","15.7","180","0.894","413","0.511","211","0.412","0.547","0.6","18.3","2.9","4.1","0.7","0.1","2.5","21.2","22.4","25.3","8.4","116.3","116.7"
"","P.J. Washington","Dal","F","26.5","42","32.9","19.6","13.9","136","0.75","318","0.472","179","0.38","0.507","0.544","14.4","8.4","2.3","1.2","1","1.9","22.8","16.8","25.1","7.9","107.8","107.9"
"","Amen Thompson","Hou","G-F","22","48","31.4","17.7","17.1","199","0.714","404","0.592","60","0.233","0.56","0.6","13.8","8","3.2","1.4","1.2","2","21.8","17","25","9","119.4","104.6"
"","Mikal Bridges","Nyk","G-F","28.4","51","38.3","19.4","9.4","62","0.742","430","0.6","339","0.36","0.573","0.583","18.2","3.1","3.3","1","0.5","1.6","21.3","21.5","24.5","6","115.6","116.4"
"","Andrew Wiggins","Gol","F","30","43","30.1","23.4","8.7","179","0.777","340","0.491","248","0.379","0.524","0.566","17.6","4.6","2.3","0.9","0.8","1.3","22.1","19.9","24.5","7.6","115.3","112.7"
"","Russell Westbrook","Den","G","36.2","48","27.7","22.5","22.8","153","0.641","327","0.55","166","0.331","0.532","0.556","13","5.1","6.4","1.5","0.5","3","18.1","19.4","24.5","10.9","108.4","107.6"
"","Deni Avdija","Por","F","24.1","49","28.7","21.8","19.3","214","0.776","296","0.554","215","0.344","0.538","0.592","14.6","6.4","3.4","1","0.6","2.5","21","18","24.4","9.5","111.9","109.9"
"","De'Andre Hunter","Atl","F-G","27.2","37","28.7","24.1","10.7","176","0.858","245","0.531","247","0.393","0.56","0.616","19","3.9","1.5","0.8","0.1","1.6","22.9","20.5","24.4","6.7","116.7","111.3"
"","Derrick White","Bos","G","30.6","49","33.6","19.4","11","101","0.822","182","0.588","432","0.38","0.575","0.599","16.1","4.2","4.1","0.9","1.2","1.6","20.3","20.2","24.4","7.8","121","110"
"","Fred VanVleet","Hou","G","31","45","35.5","18.1","10.6","101","0.832","238","0.45","349","0.344","0.489","0.521","14.6","3.9","5.8","1.6","0.4","1.6","18.5","20.4","24.3","7.8","116.6","107.7"
"","Bradley Beal","Pho","G","31.6","37","32.4","22.5","12.9","100","0.81","304","0.553","187","0.401","0.571","0.6","17.4","3.4","3.4","1.1","0.6","2","20.7","20.8","24.2","7.2","113","113.3"
"","Walker Kessler","Uta","C","23.5","39","30","13","18.7","108","0.537","249","0.731","7","0.286","0.723","0.705","11","11.6","1.5","0.5","2.4","1.5","22.6","12.5","24.1","7.7","131.3","111.8"
"","Bennedict Mathurin","Ind","G-F","22.6","48","31.6","21.8","13.7","195","0.81","386","0.536","201","0.353","0.534","0.583","16.4","5.8","1.9","0.6","0.4","1.9","22.1","18.2","24","7.2","109.7","111.5"
"","Jalen Suggs","Orl","G","23.7","35","28.6","27.4","17.5","110","0.882","239","0.506","242","0.314","0.489","0.536","16.2","4","3.7","1.5","0.9","2.9","20.2","19.9","23.9","8.7","100.5","102.7"
"","Jonathan Kuminga","Gol","F","22.3","32","26","27.6","10.6","169","0.639","307","0.502","116","0.345","0.506","0.539","16.8","5","2.2","0.9","0.6","1.6","21.7","18.9","23.9","8.8","107.6","109.2"
"","Bobby Portis","Mil","F","30","42","24.8","24.3","9.2","61","0.82","353","0.51","149","0.362","0.52","0.541","13.6","8.1","2","0.7","0.6","1.2","21.8","15.7","23.8","9.7","109.6","105.4"
"","Shaedon Sharpe","Por","G","21.7","44","30.5","24.5","11.6","140","0.807","365","0.54","270","0.319","0.513","0.549","17.4","3.8","2.4","0.8","0.2","1.9","21.2","19.8","23.6","7.1","108.1","115.4"
"","Jordan Clarkson","Uta","G","32.7","27","25.9","28","14.1","105","0.829","200","0.455","160","0.375","0.503","0.553","16.6","3.2","3.8","0.9","0.3","2.2","19.8","20.4","23.6","9.1","110.4","117.2"
"","D'Angelo Russell","Bro","G","29","13","24.3","27.3","16.1","51","0.902","68","0.426","77","0.338","0.469","0.543","14","2.9","6.5","1.3","0.9","2.2","16.9","20.5","23.4","10.6","114.4","110.1"
"","Kyle Kuzma","Was","F","29.5","32","27.7","26.9","13.8","98","0.602","295","0.495","160","0.281","0.469","0.488","15.2","5.8","2.5","0.6","0.2","2.3","21","17.7","23.4","8.7","92.8","117"
"","Kawhi Leonard","Lac","F","33.6","13","25","29.1","12","25","0.76","125","0.512","58","0.362","0.522","0.541","16.2","4.5","2.5","0.8","0.5","1.9","20.7","18.7","23.2","9.1","103.2","108.8"
"","Myles Turner","Ind","C-F","28.9","46","30.6","20.6","14.6","141","0.752","284","0.539","236","0.398","0.565","0.596","15.1","6.6","1.5","0.8","1.8","1.9","21.7","16.6","23.2","6.9","108.6","108.5"
"","O.G. Anunoby","Nyk","F-G","27.6","49","36.3","18.1","9.3","120","0.792","345","0.577","282","0.365","0.564","0.59","16.4","4.7","2","1.4","0.9","1.3","21.1","18.4","23.1","5.9","117.7","111.6"
"","Dyson Daniels","Atl","G","21.9","46","33.8","18","13.5","81","0.617","401","0.531","163","0.325","0.519","0.529","13.8","5.4","3.8","3","0.8","1.9","19.2","17.7","23","7.8","106.6","108.6"
"","Jalen Duren","Det","C","21.2","48","25.7","15.6","22.6","125","0.664","308","0.698","0","0","0.698","0.707","10.7","10","2.3","0.6","1.2","1.9","20.7","13","22.9","9.8","128.3","101.3"
"","Rudy Gobert","Min","C","32.6","52","33.3","12.2","17.3","182","0.676","334","0.65","0","0","0.65","0.673","10.7","10.4","1.8","0.7","1.6","1.3","21.1","12.5","22.9","7","132.5","105.3"
"","Devin Vassell","San","G-F","24.5","33","30.2","23.5","10.2","70","0.757","253","0.506","214","0.35","0.515","0.536","16.2","3.6","3.1","1.2","0.5","1.6","19.8","19.2","22.8","7.5","105.8","113.5"
"","Immanuel Quickley","Tor","G","25.6","12","25.8","24.5","10.5","40","0.925","77","0.442","68","0.368","0.493","0.554","15","2.1","5.7","0.6","0.2","1.4","17.1","20.7","22.8","8.7","118.7","118.1"
"","Kelly Oubre Jr.","Phi","F-G","29.2","47","34.5","18.7","9.8","139","0.741","367","0.545","196","0.291","0.507","0.54","14.3","6.4","1.9","1.5","0.5","1.3","20.8","16.2","22.7","6.5","109.9","109.6"
"","Zach LaVine","Sac","G","29.9","2","33.8","23.6","3","10","0.8","19","0.474","13","0.231","0.422","0.481","17.5","2.5","2","0.5","0.5","0.5","20","19.5","22","5.3","103.7","117.1"
"","Jeremy Sochan","San","F","21.7","29","27.2","18.7","16","75","0.707","218","0.583","45","0.311","0.563","0.59","12","7.4","2.6","0.9","0.6","1.7","19.4","14.6","22","9","115.1","107.5"
"","Onyeka Okongwu","Atl","F-C","24.2","44","25","17.2","10.4","119","0.739","298","0.641","72","0.292","0.601","0.631","12.1","7.9","2","0.8","0.8","1","20","14.1","22","9.2","128.7","107.3"
"","Jonas Valanciunas","Was","C","32.8","49","20","23.6","17.2","106","0.896","395","0.567","27","0.259","0.556","0.602","11.5","8.2","2.2","0.4","0.6","1.8","19.8","13.7","22","11.8","114.6","108.9"
"","Santi Aldama","Mem","F-C","24.1","43","24.6","19.2","9.7","63","0.698","236","0.589","200","0.37","0.573","0.587","12.7","6.7","2.5","0.8","0.5","1.1","19.4","15.2","21.9","9.7","120.8","109.2"
"","Chris Paul","San","G","39.8","48","29.1","14.2","17.2","71","0.958","130","0.508","230","0.365","0.533","0.578","9.4","4.1","8.2","1.3","0.2","1.6","13.6","17.6","21.8","9.4","127.8","111"
"","Christian Braun","Den","G","23.8","51","32.6","15.7","9.1","136","0.831","373","0.646","134","0.373","0.623","0.657","14.6","5","2.1","1.1","0.5","1","19.6","16.7","21.6","6.6","129.4","111.7"
"","Tobias Harris","Det","F","32.6","49","32","17.4","9.1","103","0.864","352","0.517","190","0.321","0.505","0.541","13","6","2.3","0.9","0.9","1.1","18.9","15.3","21.3","7","111.9","111.3"
"","Naz Reid","Min","C-F","25.5","51","26","21.3","10","89","0.798","277","0.549","271","0.417","0.587","0.608","14","5.2","1.9","0.8","0.9","1.2","19.2","15.9","21.1","8","118.3","104.3"
"","Malcolm Brogdon","Was","G","32.2","21","24.1","23.5","13.6","82","0.866","164","0.476","51","0.314","0.474","0.548","13.1","4","4","0.5","0.2","1.6","17","17","21","9.9","112.6","118.9"
"","Bilal Coulibaly","Was","G","20.5","46","33.1","17.7","16.8","149","0.772","307","0.508","177","0.277","0.474","0.522","12.5","5","3.5","1.3","0.8","2.1","17.5","16","21","7.3","103.4","116.5"
"","Scoot Henderson","Por","G","21","45","26.5","22.2","21.2","144","0.785","265","0.479","180","0.367","0.508","0.556","12.6","3.1","5.4","1.2","0.3","2.7","15.6","17.9","21","9","108.9","110.3"
"","Payton Pritchard","Bos","G","27","51","27.7","18.7","9.1","59","0.847","140","0.621","388","0.415","0.622","0.638","13.9","3.7","3.4","0.9","0.2","1","17.5","17.3","21","8.1","130.2","109.8"
"","Gradey Dick","Tor","G-F","21.2","44","29.9","22.2","11","134","0.888","284","0.486","280","0.346","0.503","0.551","15.6","3.3","2","0.8","0.2","1.6","18.9","17.5","20.9","6.3","107.5","115"
"","Daniel Gafford","Dal","F-C","26.4","49","22","19.3","14.2","169","0.71","356","0.699","0","0","0.699","0.718","12.6","6.9","1.4","0.4","1.8","1.2","19.5","14","20.9","9","136.9","104"
"","Khris Middleton","Mil","F","33.5","23","23.2","21.9","14.9","46","0.848","125","0.584","86","0.407","0.595","0.627","12.6","3.7","4.4","0.7","0.2","1.6","16.3","17","20.7","10.2","121","105.4"
"","Malik Beasley","Det","G","28.2","51","27.7","22.6","7.8","83","0.675","195","0.482","468","0.408","0.574","0.584","16","2.9","1.8","0.9","0","1.1","18.9","17.8","20.7","6.3","114.4","113.6"
"","Ayo Dosunmu","Chi","G","25.1","41","30.7","16.3","11.8","68","0.794","233","0.597","171","0.345","0.563","0.587","12.4","3.6","4.7","0.9","0.4","1.3","16","17.1","20.6","7.7","119.5","114.4"
